pid,date,cpu,mem
406,17:08:45,0.6,0.3
343,17:08:45,0,0.6
6126,17:08:45,0,4.1
6216,17:08:45,0,0.2
6002,17:08:45,0.2,3
6350,17:08:45,0,0.2
6211,17:08:45,0,0.1
582,17:08:45,0,0
6401,17:08:45,2.5,3.8
6007,17:08:45,0.1,1.3
6181,17:08:45,0,0.9
6026,17:08:45,0,0.4
6013,17:08:45,0,1.3
249,17:08:46,0,4
395,17:08:46,0,1.1
141,17:08:46,12,1.1
6020,17:08:46,0,1.7
6043,17:08:46,98.6,2.6
6338,17:08:46,0,2
172,17:08:46,0,1.2
406,17:08:46,0,0.3
343,17:08:46,0,0.6
6126,17:08:46,0,4.1
6216,17:08:46,0,0.2
6002,17:08:46,0.2,3
6350,17:08:46,0,0.2
6211,17:08:46,0,0.1
582,17:08:46,0,0
6401,17:08:46,0.2,3.8
6007,17:08:46,0,1.3
6181,17:08:46,0,0.9
6026,17:08:46,0,0.4
6013,17:08:46,0,1.3
249,17:08:47,0,4
395,17:08:47,0.5,1.1
141,17:08:47,13.8,1.1
6020,17:08:47,0,1.7
6043,17:08:47,54,2.6
6338,17:08:47,0,2
172,17:08:47,0,1.2
406,17:08:47,0,0.3
343,17:08:47,0,0.6
6126,17:08:47,0,4.1
6216,17:08:47,0,0.2
6002,17:08:47,0.2,3
6350,17:08:47,0,0.2
6211,17:08:47,0,0.1
582,17:08:47,0,0
6401,17:08:47,7.8,3.8
6007,17:08:47,0,1.3
6181,17:08:47,0,0.9
6026,17:08:47,0,0.4
6013,17:08:47,0,1.3
249,17:08:48,0,4
395,17:08:48,0,1.1
141,17:08:48,8.2,1.1
6020,17:08:48,0,1.7
6043,17:08:48,1.4,2.6
6338,17:08:48,0,2
172,17:08:48,0,1.2
406,17:08:48,0,0.3
343,17:08:48,0,0.6
6126,17:08:48,0,4.1
6216,17:08:48,0,0.2
6002,17:08:48,0.4,3
6350,17:08:48,0,0.2
6211,17:08:48,0,0.1
582,17:08:48,0,0
6401,17:08:48,2.2,3.8
6007,17:08:48,0,1.3
6181,17:08:48,0,0.9
6026,17:08:48,0,0.4
6013,17:08:48,0,1.3
249,17:08:49,0,4
395,17:08:49,0,1.1
141,17:08:49,6,1.1
6020,17:08:49,0,1.7
6043,17:08:49,0.3,2.6
6338,17:08:49,0,2
172,17:08:49,0,1.2
406,17:08:49,0,0.3
343,17:08:49,0,0.6
6126,17:08:49,0,4.1
6216,17:08:49,0,0.2
6002,17:08:49,0.2,3
6350,17:08:49,0,0.2
6211,17:08:49,0,0.1
582,17:08:49,0,0
6401,17:08:49,4.5,3.8
6007,17:08:49,0,1.3
6181,17:08:49,0,0.9
6026,17:08:49,0,0.4
6013,17:08:49,0,1.3
249,17:08:50,0,4
395,17:08:50,0,1.1
141,17:08:50,1.6,1.1
6020,17:08:50,0,1.7
6043,17:08:50,0.2,2.6
6338,17:08:50,0,2
172,17:08:50,0,1.2
406,17:08:50,0.4,0.3
343,17:08:50,0,0.6
6126,17:08:50,0,4.1
6216,17:08:50,0,0.2
6002,17:08:50,0.1,3
6350,17:08:50,0,0.2
6211,17:08:50,0,0.1
582,17:08:50,0,0
6401,17:08:50,1.5,3.8
6007,17:08:50,0,1.3
6181,17:08:50,0,0.9
6026,17:08:50,0,0.4
6013,17:08:50,0,1.3
249,17:08:51,0,4
395,17:08:51,0,1.1
141,17:08:51,14.2,1.2
6020,17:08:51,0,1.6
6043,17:08:51,1.4,2.6
6338,17:08:51,0,1.1
172,17:08:51,0,1.2
406,17:08:51,0,0.3
343,17:08:51,0,0.6
6126,17:08:51,0,4.1
6216,17:08:51,0,0.2
6002,17:08:51,0.2,3
6350,17:08:51,0,0.2
6211,17:08:51,0,0.1
582,17:08:51,0,0
6401,17:08:51,1.7,3.8
6273,17:08:51,59.8,1.5
6007,17:08:51,0,1.2
6181,17:08:51,0,0.9
6026,17:08:51,0,0.4
249,17:08:52,0,4
395,17:08:52,0,1.1
141,17:08:52,16.1,1.2
6020,17:08:52,0,1.6
6043,17:08:52,0.3,2.6
6338,17:08:52,0,1.1
172,17:08:52,0.1,1.2
406,17:08:52,0,0.3
343,17:08:52,0,0.6
6126,17:08:52,0.1,4.1
6216,17:08:52,0,0.2
6002,17:08:52,0.4,3
6350,17:08:52,0,0.2
6211,17:08:52,0,0.1
582,17:08:52,0,0
6401,17:08:52,1.5,3.8
6273,17:08:52,13.2,0.8
6007,17:08:52,0,1.2
6181,17:08:52,0,0.9
6026,17:08:52,0,0.4
249,17:08:53,0,4
395,17:08:53,0.3,1.1
141,17:08:53,8.6,1.2
6020,17:08:53,0,1.6
6043,17:08:53,4.9,2.6
6338,17:08:53,0,1.1
172,17:08:53,0.1,1.2
406,17:08:53,0,0.3
343,17:08:53,0,0.6
6126,17:08:53,0,4.1
6216,17:08:53,0,0.2
6002,17:08:53,3,3
6350,17:08:53,0,0.2
6211,17:08:53,0,0.1
582,17:08:53,0,0
6401,17:08:53,0.8,3.8
6273,17:08:53,29.8,0.8
6007,17:08:53,0,1.1
6181,17:08:53,0,0.9
6026,17:08:53,0,0.4
249,17:08:54,0,4
395,17:08:54,0.2,1.1
141,17:08:54,9.2,1.2
6020,17:08:54,0,1.6
6043,17:08:54,33.5,2.7
6338,17:08:54,0,1.1
172,17:08:54,0,1.2
406,17:08:54,0,0.3
343,17:08:54,0,0.6
6126,17:08:54,0.1,4.1
6216,17:08:54,0,0.2
6002,17:08:54,0.1,3
6350,17:08:54,0,0.2
6211,17:08:54,0,0.1
582,17:08:54,0,0
6401,17:08:54,1.2,3.8
6273,17:08:54,5.5,0.8
6007,17:08:54,0,1.1
6181,17:08:54,0,0.9
6026,17:08:54,0,0.4
249,17:08:55,9.7,4
395,17:08:55,0.1,1.1
141,17:08:55,0.9,1.2
6020,17:08:55,0,1.6
6043,17:08:55,21.2,2.8
6338,17:08:55,0,1.1
172,17:08:55,1.2,1.2
406,17:08:55,0.1,0.3
343,17:08:55,0,0.6
6126,17:08:55,0,4.1
6216,17:08:55,0,0.2
6002,17:08:55,0.3,3
6350,17:08:55,0,0.2
6211,17:08:55,0,0.1
582,17:08:55,0,0
6401,17:08:55,1.3,3.8
6273,17:08:55,0.8,0.8
6007,17:08:55,0,1.1
6181,17:08:55,0,0.9
6026,17:08:55,0,0.4
249,17:08:56,1.3,4
395,17:08:56,1.6,1.1
141,17:08:56,5.2,1.3
6043,17:08:56,90.1,3.6
6020,17:08:56,0,1.6
6338,17:08:56,0,0.9
172,17:08:56,0,1.2
406,17:08:56,0,0.3
343,17:08:56,0,0.6
6126,17:08:56,0,4.1
6216,17:08:56,0,0.2
6002,17:08:56,0.1,3
6350,17:08:56,0,0.2
6211,17:08:56,0,0.1
6438,17:08:56,0.2,0.1
582,17:08:56,0,0
6401,17:08:56,0.9,3.8
6273,17:08:56,0,0.8
6007,17:08:56,0,1
6181,17:08:56,0,0.9
249,17:08:57,0,4
395,17:08:57,0,1.1
141,17:08:57,2.7,1.3
6043,17:08:57,11.3,3.6
6020,17:08:57,0,1.6
6338,17:08:57,0,0.9
172,17:08:57,0,1.2
406,17:08:57,0,0.3
343,17:08:57,0,0.6
6126,17:08:57,0,4.1
6216,17:08:57,0,0.2
6002,17:08:57,0.2,3
6350,17:08:57,0,0.2
6211,17:08:57,0,0.1
6438,17:08:57,0,0.1
582,17:08:57,0,0
6401,17:08:57,0.6,3.8
6273,17:08:57,0,0.8
6007,17:08:57,0,1
6181,17:08:57,0,0.9
249,17:08:58,0,4
395,17:08:58,0,1.1
141,17:08:58,5.4,1.3
6043,17:08:58,13.2,3.6
6020,17:08:58,0.3,1.6
6338,17:08:58,0,0.9
172,17:08:58,0.3,1.2
406,17:08:58,0,0.3
343,17:08:58,0,0.6
6126,17:08:58,0,4.1
6216,17:08:58,0,0.2
6002,17:08:58,4.8,3
6350,17:08:58,0,0.2
6211,17:08:58,0,0.1
6438,17:08:58,0,0.1
582,17:08:58,0,0
6401,17:08:58,3.1,3.8
6273,17:08:58,0,0.8
6007,17:08:58,3.6,1
6181,17:08:58,0,0.9
249,17:08:59,3.9,4
395,17:08:59,0.5,1.1
141,17:08:59,5.8,1.2
6043,17:08:59,13.5,3.4
6020,17:08:59,0,1.6
6338,17:08:59,0,0.9
172,17:08:59,0,1.2
406,17:08:59,0,0.3
343,17:08:59,0,0.6
6126,17:08:59,0,4.1
6216,17:08:59,0,0.2
6002,17:08:59,0.4,3
6350,17:08:59,0,0.2
6211,17:08:59,0,0.1
6438,17:08:59,0,0.1
582,17:08:59,0,0
6401,17:08:59,0.9,3.8
6273,17:08:59,5,0.8
6007,17:08:59,0.3,1
6181,17:08:59,0,0.9
249,17:09:00,4.1,4
395,17:09:00,0.2,1.1
141,17:09:00,0.9,1.2
6043,17:09:00,1.4,3.4
6020,17:09:00,0,1.6
6338,17:09:00,0,0.9
172,17:09:00,0,1.2
406,17:09:00,0,0.3
343,17:09:00,0,0.6
6126,17:09:00,0.1,4.1
6216,17:09:00,0,0.2
6002,17:09:00,0.1,3
6350,17:09:00,0,0.2
6211,17:09:00,0,0.1
6438,17:09:00,0,0.1
582,17:09:00,0,0
6401,17:09:00,0.3,3.8
6273,17:09:00,0.1,0.8
6007,17:09:00,0,1
6181,17:09:00,0,0.9
249,17:09:01,15,4
395,17:09:01,0.6,1.1
141,17:09:01,3.7,1.2
6043,17:09:01,0.5,3.4
6020,17:09:01,0,1.6
6338,17:09:01,0,0.9
172,17:09:01,0.2,1.2
406,17:09:01,0,0.3
343,17:09:01,0,0.6
6126,17:09:01,0,4.1
